Script,TP,SL,PnL,ROI,Profit Factor,Win Rate
8x_MA,15,10,,,,
Almost Zero Lag EMA Strategy,15,10,,,,
8x_MA,15,10,,,,
8x_MA,15,10,,,,
8x_MA,15,10,,,,
8x_MA,15,10,,,,
Almost Zero Lag EMA Strategy,15,10,,,,
BB-KC Squeeze Strategy,15,10,,,,
BOP Strategy,15,10,,,,
Bears-Bulls Strategy,15,10,,,,
8x_MA,15,10,,,,
Almost Zero Lag EMA Strategy,15,10,,,,
