Script,TP,SL,PnL,ROI,Profit Factor,Win Rate
8x_MA,10,5,,,,
Almost Zero Lag EMA Strategy,10,5,,,,
8x_MA,10,5,,,,
8x_MA,10,5,,,,
8x_MA,10,5,,,,
8x_MA,10,5,,,,
8x_MA,10,5,,,,
8x_MA,10,5,,,,
Almost Zero Lag EMA Strategy,10,5,,,,
BB-KC Squeeze Strategy,10,5,,,,
BOP Strategy,10,5,,,,
Bears-Bulls Strategy,10,5,,,,
8x_MA,10,5,,,,
Almost Zero Lag EMA Strategy,10,5,,,,
BB-KC Squeeze Strategy,10,5,,,,
